Best New Show
Súbeme la radio,, W
Film Fatales,, N
JSM,, N
Coldwave on the Coast,, N
Sulaiman's Samples,, N

Loosest Lips
No Filter,, W
Talk of Shame,, N
The homework club,, N
Second Sound,, N
Third Favourite Girls,, N

Most Appreciated by Morgan from Community Relations
St Andrews Meets the World on STAR,, N
Life in a Bubble,, N
Scotland and Beyond,, N
Candlelight,, N
A St Andrews Kind Of Love,, W

Most Requests for Tech Help
Slugs and Snails,, W
Flapjack Various,, N
Earsplitter Radio,, N
Music School Dropouts,, N
Misadvantures Abroad,, N

Grooviest Tunes
Background Music,, N
Wacky Trax with Aaron and Max,, N
Music School Dropouts,, N
Young Love Club,, W
Locked and Loaded,, N

Quirkiest Show Name
Send News,, N
A Nice Decent Affordable Place to Raise a Family,, N
Pooing in Public,, N
Slugs and Snails,, N
Wack Bastard: Come Hither Fools,, W

Most Listened To
Vigorous Jazz Hands,, N
St Andrews Meets The World,, N
Blondes on Blast,, N
Alexa Play Lil & Will,, N
Video Games Are Fun But Also Sad,, W

Ho Ho Funniest Show
Making Comedy Unfunny,, N
Area 601,, W
Film Fatales,, N
Citation Needed,, N
Side Plate,, N

BNOR: Biggest Name On Radio
Come Together,, N
Cheek,, N
The Broomfaulds Closet,, W
Wax FM,, N
Bubbies and Bants,, N

Why Pay Tuition Fees When This Show Exists
Birds & The Bees,, N
54 Flags,, N
The Third Degree,, N
Dinner and a Movie,, N
HiGuys History,, W

Raduo (Rad Duo)
The Podcast Nobody Asked For,, N
Brainwaves,, N
In the meantime,, N
Work in Progress,, W
The Dangerous Book for Boys and Girls,, N

Keenest Broadcasting Bean
Chill Jams for School and Exams,, W
Rook, Rock, Review,, N
Young Love Club,, N
Bars Across Borders,, N
Bubbles & Bliss,, N

Most Mentioned in Committee Interviews
JSM,, W
Flapjack Various,, N
Alt Nation,, N
Young Love Club,, N
RockSTAR,, N

Best Post-coital Show
Slugs and Snails,, W
Before Eight with Bear and Tom,, N
Citizens of Nowhere,, N
Kat's Pyjamas,, N
Birds & The Bees,, N

Most Steamin' When Streamin'
Stuck in the Middle,, N
Dishonest Academics,, N
The homework club,, W
Tangents: with Jo and Jamie,, N
Tom when he lets people into the studio at 1am on a Friday night,, N

Never Missed a Podcast
Side Plate,, N
Bars Across Borders,, N
North and South,, W
Dias'd and Beamused,, N
Eco-Activist Journeys,, N

Most Shameless Self-Promo
Young Love Club,, N
Desert Island Flicks,, N
Talk of Shame,, N
Northern Rambles,, N
JSM,, W

People's Choice Award
No Filter,, N
Chill Jams for School and Exams,, N
JSM,, W
Talk of Shame,, N
Third Favourite Girls,, N
